,Driver,Driver Points,Driver Standings,Driver Wins,Round,Season
4338,ginther,0.0,27,0,3,1967
4339,hulme,16.0,1,1,4,1967
4340,rodriguez,11.0,2,1,4,1967
4341,amon,11.0,3,0,4,1967
4342,clark,10.0,4,1,4,1967
4343,gurney,9.0,5,1,4,1967
4344,jack_brabham,7.0,6,0,4,1967
4345,stewart,6.0,7,0,4,1967
4346,hill,6.0,8,0,4,1967
4347,love,6.0,9,0,4,1967
4348,surtees,4.0,10,0,4,1967
4349,rindt,3.0,11,0,4,1967
4350,mclaren,3.0,12,0,4,1967
4351,spence,3.0,13,0,4,1967
4352,anderson,2.0,14,0,4,1967
4353,parkes,2.0,15,0,4,1967
4354,scarfiotti,1.0,16,0,4,1967
4355,siffert,0.0,17,0,4,1967
4356,irwin,0.0,18,0,4,1967
4357,ligier,0.0,19,0,4,1967
4358,bandini,0.0,20,0,4,1967
4359,charlton,0.0,21,0,4,1967
4360,courage,0.0,22,0,4,1967
4361,botha,0.0,23,0,4,1967
4362,tingle,0.0,24,0,4,1967
4363,bonnier,0.0,25,0,4,1967
4364,gavin,0.0,26,0,4,1967
4365,beltoise,0.0,27,0,4,1967
4366,ginther,0.0,28,0,4,1967
4367,hulme,22.0,1,1,5,1967
4368,jack_brabham,16.0,2,1,5,1967
4369,rodriguez,12.0,3,1,5,1967
4370,amon,11.0,4,0,5,1967
4371,clark,10.0,5,1,5,1967
4372,stewart,10.0,6,0,5,1967
4373,gurney,9.0,7,1,5,1967
4374,hill,6.0,8,0,5,1967
4375,love,6.0,9,0,5,1967
4376,surtees,4.0,10,0,5,1967
4377,siffert,3.0,11,0,5,1967
4378,rindt,3.0,12,0,5,1967
4379,mclaren,3.0,13,0,5,1967
4380,spence,3.0,14,0,5,1967
4381,irwin,2.0,15,0,5,1967
4382,anderson,2.0,16,0,5,1967
4383,parkes,2.0,17,0,5,1967
4384,scarfiotti,1.0,18,0,5,1967
4385,ligier,0.0,19,0,5,1967
4386,bandini,0.0,20,0,5,1967
4387,charlton,0.0,21,0,5,1967
4388,courage,0.0,22,0,5,1967
4389,botha,0.0,23,0,5,1967
4390,tingle,0.0,24,0,5,1967
4391,bonnier,0.0,25,0,5,1967
4392,gavin,0.0,26,0,5,1967
4393,beltoise,0.0,27,0,5,1967
4394,ginther,0.0,28,0,5,1967
4395,hulme,28.0,1,1,6,1967
4396,clark,19.0,2,2,6,1967
4397,jack_brabham,19.0,3,1,6,1967
4398,amon,15.0,4,0,6,1967
4399,rodriguez,14.0,5,1,6,1967
4400,stewart,10.0,6,0,6,1967
4401,gurney,9.0,7,1,6,1967
4402,hill,6.0,8,0,6,1967
4403,love,6.0,9,0,6,1967
4404,surtees,5.0,10,0,6,1967
4405,siffert,3.0,11,0,6,1967
4406,rindt,3.0,12,0,6,1967
4407,mclaren,3.0,13,0,6,1967
4408,spence,3.0,14,0,6,1967
4409,irwin,2.0,15,0,6,1967
4410,anderson,2.0,16,0,6,1967
4411,parkes,2.0,17,0,6,1967
4412,scarfiotti,1.0,18,0,6,1967
4413,hobbs,0.0,19,0,6,1967
4414,rees,0.0,20,0,6,1967
4415,ligier,0.0,21,0,6,1967
4416,bandini,0.0,22,0,6,1967
4417,charlton,0.0,23,0,6,1967
4418,courage,0.0,24,0,6,1967
4419,botha,0.0,25,0,6,1967
4420,tingle,0.0,26,0,6,1967
4421,bonnier,0.0,27,0,6,1967
4422,moser,0.0,28,0,6,1967
4423,gavin,0.0,29,0,6,1967
4424,beltoise,0.0,30,0,6,1967
4425,hulme,37.0,1,2,7,1967
4426,jack_brabham,25.0,2,1,7,1967
4427,clark,19.0,3,2,7,1967
4428,amon,19.0,4,0,7,1967
4429,rodriguez,14.0,5,1,7,1967
4430,stewart,10.0,6,0,7,1967
4431,gurney,9.0,7,1,7,1967
4432,surtees,8.0,8,0,7,1967
4433,hill,6.0,9,0,7,1967
4434,love,6.0,10,0,7,1967
4435,siffert,3.0,11,0,7,1967
4436,rindt,3.0,12,0,7,1967
4437,mclaren,3.0,13,0,7,1967
4438,spence,3.0,14,0,7,1967
4439,irwin,2.0,15,0,7,1967
4440,anderson,2.0,16,0,7,1967
4441,parkes,2.0,17,0,7,1967
4442,bonnier,2.0,18,0,7,1967
4443,scarfiotti,1.0,19,0,7,1967
4444,ligier,1.0,20,0,7,1967
4445,oliver,0.0,21,0,7,1967
4446,rees,0.0,22,0,7,1967
4447,hobbs,0.0,23,0,7,1967
4448,bandini,0.0,24,0,7,1967
4449,charlton,0.0,25,0,7,1967
4450,courage,0.0,26,0,7,1967
4451,botha,0.0,27,0,7,1967
4452,tingle,0.0,28,0,7,1967
4453,ickx,0.0,29,0,7,1967
4454,hart,0.0,30,0,7,1967
4455,hulme,43.0,1,2,8,1967
4456,jack_brabham,34.0,2,2,8,1967
4457,amon,20.0,3,0,8,1967
4458,clark,19.0,4,2,8,1967
4459,rodriguez,14.0,5,1,8,1967
4460,gurney,13.0,6,1,8,1967
4461,stewart,10.0,7,0,8,1967
4462,hill,9.0,8,0,8,1967
4463,surtees,8.0,9,0,8,1967
4464,love,6.0,10,0,8,1967
4465,spence,5.0,11,0,8,1967
4466,siffert,3.0,12,0,8,1967
4467,mclaren,3.0,13,0,8,1967
4468,rindt,3.0,14,0,8,1967
4469,irwin,2.0,15,0,8,1967
4470,anderson,2.0,16,0,8,1967
4471,parkes,2.0,17,0,8,1967
4472,bonnier,2.0,18,0,8,1967
4473,scarfiotti,1.0,19,0,8,1967
4474,ligier,1.0,20,0,8,1967
4475,oliver,0.0,21,0,8,1967
4476,rees,0.0,22,0,8,1967
4477,hobbs,0.0,23,0,8,1967
4478,attwood,0.0,24,0,8,1967
4479,fisher,0.0,25,0,8,1967
4480,bandini,0.0,26,0,8,1967
4481,charlton,0.0,27,0,8,1967
4482,courage,0.0,28,0,8,1967
4483,botha,0.0,29,0,8,1967
4484,tingle,0.0,30,0,8,1967
4485,hulme,43.0,1,2,9,1967
4486,jack_brabham,40.0,2,2,9,1967
4487,clark,23.0,3,2,9,1967
4488,amon,20.0,4,0,9,1967
4489,surtees,17.0,5,1,9,1967
4490,rodriguez,14.0,6,1,9,1967
4491,gurney,13.0,7,1,9,1967
4492,stewart,10.0,8,0,9,1967
4493,hill,9.0,9,0,9,1967
4494,spence,7.0,10,0,9,1967
4495,love,6.0,11,0,9,1967
4496,rindt,6.0,12,0,9,1967
4497,siffert,3.0,13,0,9,1967
4498,mclaren,3.0,14,0,9,1967
4499,irwin,2.0,15,0,9,1967
4500,anderson,2.0,16,0,9,1967
4501,parkes,2.0,17,0,9,1967
4502,bonnier,2.0,18,0,9,1967
4503,scarfiotti,1.0,19,0,9,1967
4504,ickx,1.0,20,0,9,1967
4505,ligier,1.0,21,0,9,1967
4506,oliver,0.0,22,0,9,1967
4507,rees,0.0,23,0,9,1967
4508,hobbs,0.0,24,0,9,1967
4509,attwood,0.0,25,0,9,1967
4510,fisher,0.0,26,0,9,1967
4511,bandini,0.0,27,0,9,1967
4512,charlton,0.0,28,0,9,1967
4513,courage,0.0,29,0,9,1967
4514,botha,0.0,30,0,9,1967
4515,hulme,47.0,1,2,10,1967
4516,jack_brabham,42.0,2,2,10,1967
4517,clark,32.0,3,3,10,1967
4518,amon,20.0,4,0,10,1967
4519,surtees,17.0,5,1,10,1967
4520,hill,15.0,6,0,10,1967
4521,rodriguez,14.0,7,1,10,1967
4522,gurney,13.0,8,1,10,1967
4523,stewart,10.0,9,0,10,1967
4524,spence,7.0,10,0,10,1967
4525,love,6.0,11,0,10,1967
4526,siffert,6.0,12,0,10,1967
4527,rindt,6.0,13,0,10,1967
4528,mclaren,3.0,14,0,10,1967
4529,bonnier,3.0,15,0,10,1967
4530,irwin,2.0,16,0,10,1967
4531,anderson,2.0,17,0,10,1967
4532,parkes,2.0,18,0,10,1967
4533,ickx,1.0,19,0,10,1967
4534,scarfiotti,1.0,20,0,10,1967
4535,ligier,1.0,21,0,10,1967
4536,oliver,0.0,22,0,10,1967
4537,rees,0.0,23,0,10,1967
4538,beltoise,0.0,24,0,10,1967
4539,hobbs,0.0,25,0,10,1967
4540,attwood,0.0,26,0,10,1967
4541,fisher,0.0,27,0,10,1967
4542,bandini,0.0,28,0,10,1967
4543,charlton,0.0,29,0,10,1967
4544,courage,0.0,30,0,10,1967
4545,hulme,51.0,1,2,11,1967
4546,jack_brabham,46.0,2,2,11,1967
4547,clark,41.0,3,4,11,1967
4548,surtees,20.0,4,1,11,1967
4549,amon,20.0,5,0,11,1967
4550,rodriguez,15.0,6,1,11,1967
4551,hill,15.0,7,0,11,1967
4552,gurney,13.0,8,1,11,1967
4553,stewart,10.0,9,0,11,1967
4554,spence,9.0,10,0,11,1967
4555,love,6.0,11,0,11,1967
4556,siffert,6.0,12,0,11,1967
4557,rindt,6.0,13,0,11,1967
4558,mclaren,3.0,14,0,11,1967
4559,bonnier,3.0,15,0,11,1967
4560,irwin,2.0,16,0,11,1967
4561,anderson,2.0,17,0,11,1967
4562,parkes,2.0,18,0,11,1967
4563,ickx,1.0,19,0,11,1967
4564,scarfiotti,1.0,20,0,11,1967
4565,ligier,1.0,21,0,11,1967
4566,oliver,0.0,22,0,11,1967
4567,beltoise,0.0,23,0,11,1967
4568,rees,0.0,24,0,11,1967
4569,hobbs,0.0,25,0,11,1967
4570,williams,0.0,26,0,11,1967
4571,attwood,0.0,27,0,11,1967
4572,fisher,0.0,28,0,11,1967
4573,bandini,0.0,29,0,11,1967
4574,charlton,0.0,30,0,11,1967
4575,clark,9.0,1,1,1,1968
4576,hill,6.0,2,0,1,1968
4577,rindt,4.0,3,0,1,1968
4578,amon,3.0,4,0,1,1968
4579,hulme,2.0,5,0,1,1968
4580,beltoise,1.0,6,0,1,1968
4581,siffert,0.0,7,0,1,1968
4582,surtees,0.0,8,0,1,1968
4583,love,0.0,9,0,1,1968
4584,pretorius,0.0,10,0,1,1968
4585,gurney,0.0,11,0,1,1968
4586,ickx,0.0,12,0,1,1968
4587,bonnier,0.0,13,0,1,1968
4588,stewart,0.0,14,0,1,1968
4589,tingle,0.0,15,0,1,1968
4590,rooyen,0.0,16,0,1,1968
4591,rodriguez,0.0,17,0,1,1968
4592,jack_brabham,0.0,18,0,1,1968
4593,adamich,0.0,19,0,1,1968
4594,spence,0.0,20,0,1,1968
4595,redman,0.0,21,0,1,1968
4596,charlton,0.0,22,0,1,1968
4597,scarfiotti,0.0,23,0,1,1968
4598,hill,15.0,1,1,2,1968
4599,clark,9.0,2,1,2,1968
4600,hulme,8.0,3,0,2,1968
4601,rindt,4.0,4,0,2,1968
4602,redman,4.0,5,0,2,1968
4603,amon,3.0,6,0,2,1968
4604,scarfiotti,3.0,7,0,2,1968
4605,beltoise,3.0,8,0,2,1968
4606,siffert,0.0,9,0,2,1968
4607,surtees,0.0,10,0,2,1968
4608,love,0.0,11,0,2,1968
4609,mclaren,0.0,12,0,2,1968
4610,courage,0.0,13,0,2,1968
4611,pretorius,0.0,14,0,2,1968
4612,rodriguez,0.0,15,0,2,1968
4613,gurney,0.0,16,0,2,1968
4614,ickx,0.0,17,0,2,1968
4615,bonnier,0.0,18,0,2,1968
4616,jack_brabham,0.0,19,0,2,1968
4617,stewart,0.0,20,0,2,1968
4618,tingle,0.0,21,0,2,1968
4619,rooyen,0.0,22,0,2,1968
4620,adamich,0.0,23,0,2,1968
4621,spence,0.0,24,0,2,1968
4622,charlton,0.0,25,0,2,1968
4623,hill,24.0,1,2,3,1968
4624,hulme,10.0,2,0,3,1968
4625,clark,9.0,3,1,3,1968
4626,attwood,6.0,4,0,3,1968
4627,scarfiotti,6.0,5,0,3,1968
4628,rindt,4.0,6,0,3,1968
4629,redman,4.0,7,0,3,1968
4630,bianchi,4.0,8,0,3,1968
4631,amon,3.0,9,0,3,1968
4632,beltoise,3.0,10,0,3,1968
4633,siffert,0.0,11,0,3,1968
4634,surtees,0.0,12,0,3,1968
4635,love,0.0,13,0,3,1968
4636,mclaren,0.0,14,0,3,1968
4637,rodriguez,0.0,15,0,3,1968
4638,courage,0.0,16,0,3,1968
4639,pretorius,0.0,17,0,3,1968
4640,gurney,0.0,18,0,3,1968
4641,ickx,0.0,19,0,3,1968
4642,jack_brabham,0.0,20,0,3,1968
4643,bonnier,0.0,21,0,3,1968
4644,gavin,0.0,22,0,3,1968
4645,stewart,0.0,23,0,3,1968
4646,tingle,0.0,24,0,3,1968
4647,oliver,0.0,25,0,3,1968
4648,rooyen,0.0,26,0,3,1968
4649,moser,0.0,27,0,3,1968
4650,adamich,0.0,28,0,3,1968
4651,spence,0.0,29,0,3,1968
4652,charlton,0.0,30,0,3,1968
4653,hill,24.0,1,2,4,1968
4654,hulme,10.0,2,0,4,1968
4655,mclaren,9.0,3,1,4,1968
4656,clark,9.0,4,1,4,1968
4657,rodriguez,6.0,5,0,4,1968
4658,attwood,6.0,6,0,4,1968
4659,scarfiotti,6.0,7,0,4,1968
4660,bianchi,5.0,8,0,4,1968
4661,ickx,4.0,9,0,4,1968
4662,rindt,4.0,10,0,4,1968
4663,redman,4.0,11,0,4,1968
4664,amon,3.0,12,0,4,1968
4665,stewart,3.0,13,0,4,1968
4666,beltoise,3.0,14,0,4,1968
4667,oliver,2.0,15,0,4,1968
4668,siffert,0.0,16,0,4,1968
4669,surtees,0.0,17,0,4,1968
4670,love,0.0,18,0,4,1968
4671,courage,0.0,19,0,4,1968
4672,pretorius,0.0,20,0,4,1968
4673,gurney,0.0,21,0,4,1968
4674,jack_brabham,0.0,22,0,4,1968
4675,bonnier,0.0,23,0,4,1968
4676,gavin,0.0,24,0,4,1968
4677,tingle,0.0,25,0,4,1968
4678,rooyen,0.0,26,0,4,1968
4679,moser,0.0,27,0,4,1968
4680,adamich,0.0,28,0,4,1968
4681,spence,0.0,29,0,4,1968
4682,charlton,0.0,30,0,4,1968
4683,hill,24.0,1,2,5,1968
4684,stewart,12.0,2,1,5,1968
4685,rodriguez,10.0,3,0,5,1968
4686,hulme,10.0,4,0,5,1968
4687,mclaren,9.0,5,1,5,1968
4688,clark,9.0,6,1,5,1968
4689,beltoise,9.0,7,0,5,1968
4690,ickx,7.0,8,0,5,1968
4691,attwood,6.0,9,0,5,1968
4692,scarfiotti,6.0,10,0,5,1968
4693,bianchi,5.0,11,0,5,1968
4694,rindt,4.0,12,0,5,1968
4695,redman,4.0,13,0,5,1968
4696,amon,4.0,14,0,5,1968
4697,oliver,2.0,15,0,5,1968
4698,moser,2.0,16,0,5,1968
4699,siffert,0.0,17,0,5,1968
4700,surtees,0.0,18,0,5,1968
4701,bonnier,0.0,19,0,5,1968
4702,love,0.0,20,0,5,1968
4703,courage,0.0,21,0,5,1968
4704,pretorius,0.0,22,0,5,1968
4705,gurney,0.0,23,0,5,1968
4706,jack_brabham,0.0,24,0,5,1968
4707,gavin,0.0,25,0,5,1968
4708,tingle,0.0,26,0,5,1968
4709,rooyen,0.0,27,0,5,1968
4710,adamich,0.0,28,0,5,1968
4711,spence,0.0,29,0,5,1968
4712,charlton,0.0,30,0,5,1968
4713,hill,24.0,1,2,6,1968
4714,ickx,16.0,2,1,6,1968
4715,stewart,16.0,3,1,6,1968
4716,hulme,12.0,4,0,6,1968
4717,rodriguez,10.0,5,0,6,1968
4718,mclaren,9.0,6,1,6,1968
4719,clark,9.0,7,1,6,1968
4720,beltoise,9.0,8,0,6,1968
4721,attwood,6.0,9,0,6,1968
4722,surtees,6.0,10,0,6,1968
4723,scarfiotti,6.0,11,0,6,1968
4724,bianchi,5.0,12,0,6,1968
4725,rindt,4.0,13,0,6,1968
4726,redman,4.0,14,0,6,1968
4727,amon,4.0,15,0,6,1968
4728,elford,3.0,16,0,6,1968
4729,oliver,2.0,17,0,6,1968
4730,moser,2.0,18,0,6,1968
4731,courage,1.0,19,0,6,1968
4732,siffert,0.0,20,0,6,1968
4733,bonnier,0.0,21,0,6,1968
4734,love,0.0,22,0,6,1968
4735,pretorius,0.0,23,0,6,1968
4736,gurney,0.0,24,0,6,1968
4737,jack_brabham,0.0,25,0,6,1968
4738,gavin,0.0,26,0,6,1968
4739,tingle,0.0,27,0,6,1968
4740,rooyen,0.0,28,0,6,1968
4741,jo_schlesser,0.0,29,0,6,1968
4742,adamich,0.0,30,0,6,1968
4743,hill,24.0,1,2,7,1968
4744,ickx,20.0,2,1,7,1968
4745,stewart,17.0,3,1,7,1968
4746,hulme,15.0,4,0,7,1968
4747,rodriguez,10.0,5,0,7,1968
4748,amon,10.0,6,0,7,1968
4749,siffert,9.0,7,1,7,1968
4750,mclaren,9.0,8,1,7,1968
4751,clark,9.0,9,1,7,1968
4752,beltoise,9.0,10,0,7,1968
4753,surtees,8.0,11,0,7,1968
4754,attwood,6.0,12,0,7,1968
4755,scarfiotti,6.0,13,0,7,1968
4756,bianchi,5.0,14,0,7,1968
4757,rindt,4.0,15,0,7,1968
4758,redman,4.0,16,0,7,1968
4759,elford,3.0,17,0,7,1968
4760,oliver,2.0,18,0,7,1968
4761,moser,2.0,19,0,7,1968
4762,courage,1.0,20,0,7,1968
4763,bonnier,0.0,21,0,7,1968
4764,love,0.0,22,0,7,1968
4765,pretorius,0.0,23,0,7,1968
4766,gurney,0.0,24,0,7,1968
4767,jack_brabham,0.0,25,0,7,1968
4768,widdows,0.0,26,0,7,1968
4769,gavin,0.0,27,0,7,1968
4770,tingle,0.0,28,0,7,1968
4771,rooyen,0.0,29,0,7,1968
4772,jo_schlesser,0.0,30,0,7,1968
4773,hill,30.0,1,2,8,1968
4774,stewart,26.0,2,2,8,1968
4775,ickx,23.0,3,1,8,1968
4776,hulme,15.0,4,0,8,1968
4777,rodriguez,11.0,5,0,8,1968
4778,amon,10.0,6,0,8,1968
4779,siffert,9.0,7,1,8,1968
4780,mclaren,9.0,8,1,8,1968
4781,clark,9.0,9,1,8,1968
4782,beltoise,9.0,10,0,8,1968
4783,surtees,8.0,11,0,8,1968
4784,rindt,8.0,12,0,8,1968
4785,attwood,6.0,13,0,8,1968
4786,scarfiotti,6.0,14,0,8,1968
4787,bianchi,5.0,15,0,8,1968
4788,redman,4.0,16,0,8,1968
4789,elford,3.0,17,0,8,1968
4790,oliver,2.0,18,0,8,1968
4791,moser,2.0,19,0,8,1968
4792,jack_brabham,2.0,20,0,8,1968
4793,courage,1.0,21,0,8,1968
4794,bonnier,0.0,22,0,8,1968
4795,gurney,0.0,23,0,8,1968
4796,love,0.0,24,0,8,1968
4797,hahne,0.0,25,0,8,1968
4798,ahrens,0.0,26,0,8,1968
4799,pretorius,0.0,27,0,8,1968
4800,widdows,0.0,28,0,8,1968
4801,gavin,0.0,29,0,8,1968
4802,tingle,0.0,30,0,8,1968
4803,hill,30.0,1,2,9,1968
4804,ickx,27.0,2,1,9,1968
4805,stewart,26.0,3,2,9,1968
4806,hulme,24.0,4,1,9,1968
4807,rodriguez,11.0,5,0,9,1968
4808,beltoise,11.0,6,0,9,1968
4809,amon,10.0,7,0,9,1968
4810,siffert,9.0,8,1,9,1968
4811,mclaren,9.0,9,1,9,1968
4812,clark,9.0,10,1,9,1968
4813,surtees,8.0,11,0,9,1968
4814,rindt,8.0,12,0,9,1968
4815,attwood,6.0,13,0,9,1968
4816,gavin,6.0,14,0,9,1968
4817,scarfiotti,6.0,15,0,9,1968
4818,bianchi,5.0,16,0,9,1968
4819,redman,4.0,17,0,9,1968
4820,courage,4.0,18,0,9,1968
4821,elford,3.0,19,0,9,1968
4822,oliver,2.0,20,0,9,1968
4823,jack_brabham,2.0,21,0,9,1968
4824,moser,2.0,22,0,9,1968
4825,bonnier,1.0,23,0,9,1968
4826,gurney,0.0,24,0,9,1968
4827,love,0.0,25,0,9,1968
4828,hahne,0.0,26,0,9,1968
4829,ahrens,0.0,27,0,9,1968
4830,hobbs,0.0,28,0,9,1968
4831,pretorius,0.0,29,0,9,1968
4832,widdows,0.0,30,0,9,1968
4833,hill,33.0,1,2,10,1968
4834,hulme,33.0,2,2,10,1968
4835,stewart,27.0,3,2,10,1968
4836,ickx,27.0,4,1,10,1968
4837,mclaren,15.0,5,1,10,1968
4838,rodriguez,15.0,6,0,10,1968
4839,beltoise,11.0,7,0,10,1968
4840,amon,10.0,8,0,10,1968
4841,siffert,9.0,9,1,10,1968
4842,clark,9.0,10,1,10,1968
4843,surtees,8.0,11,0,10,1968
4844,rindt,8.0,12,0,10,1968
4845,attwood,6.0,13,0,10,1968
4846,gavin,6.0,14,0,10,1968
4847,scarfiotti,6.0,15,0,10,1968
4848,bianchi,5.0,16,0,10,1968
4849,elford,5.0,17,0,10,1968
4850,redman,4.0,18,0,10,1968
4851,courage,4.0,19,0,10,1968
4852,oliver,2.0,20,0,10,1968
4853,jack_brabham,2.0,21,0,10,1968
4854,moser,2.0,22,0,10,1968
4855,bonnier,1.0,23,0,10,1968
4856,gurney,0.0,24,0,10,1968
4857,love,0.0,25,0,10,1968
4858,hahne,0.0,26,0,10,1968
4859,ahrens,0.0,27,0,10,1968
4860,hobbs,0.0,28,0,10,1968
4861,pretorius,0.0,29,0,10,1968
4862,pescarolo,0.0,30,0,10,1968
4863,hill,39.0,1,2,11,1968
4864,stewart,36.0,2,3,11,1968
4865,hulme,33.0,3,2,11,1968
4866,ickx,27.0,4,1,11,1968
4867,mclaren,16.0,5,1,11,1968
4868,rodriguez,15.0,6,0,11,1968
4869,surtees,12.0,7,0,11,1968
4870,siffert,11.0,8,1,11,1968
4871,beltoise,11.0,9,0,11,1968
4872,amon,10.0,10,0,11,1968
4873,clark,9.0,11,1,11,1968
4874,rindt,8.0,12,0,11,1968
4875,attwood,6.0,13,0,11,1968
4876,gavin,6.0,14,0,11,1968
4877,scarfiotti,6.0,15,0,11,1968
4878,bianchi,5.0,16,0,11,1968
4879,elford,5.0,17,0,11,1968
4880,redman,4.0,18,0,11,1968
4881,courage,4.0,19,0,11,1968
4882,gurney,3.0,20,0,11,1968
4883,oliver,2.0,21,0,11,1968
4884,jack_brabham,2.0,22,0,11,1968
4885,moser,2.0,23,0,11,1968
4886,bonnier,1.0,24,0,11,1968
4887,love,0.0,25,0,11,1968
4888,hahne,0.0,26,0,11,1968
4889,ahrens,0.0,27,0,11,1968
4890,hobbs,0.0,28,0,11,1968
4891,pretorius,0.0,29,0,11,1968
4892,pescarolo,0.0,30,0,11,1968
4893,hill,48.0,1,3,12,1968
4894,stewart,36.0,2,3,12,1968
4895,hulme,33.0,3,2,12,1968
4896,ickx,27.0,4,1,12,1968
4897,mclaren,22.0,5,1,12,1968
4898,rodriguez,18.0,6,0,12,1968
4899,siffert,12.0,7,1,12,1968
4900,surtees,12.0,8,0,12,1968
4901,beltoise,11.0,9,0,12,1968
4902,amon,10.0,10,0,12,1968
4903,clark,9.0,11,1,12,1968
4904,rindt,8.0,12,0,12,1968
4905,attwood,6.0,13,0,12,1968
4906,gavin,6.0,14,0,12,1968
4907,oliver,6.0,15,0,12,1968
4908,scarfiotti,6.0,16,0,12,1968
4909,bianchi,5.0,17,0,12,1968
4910,elford,5.0,18,0,12,1968
4911,redman,4.0,19,0,12,1968
4912,courage,4.0,20,0,12,1968
4913,gurney,3.0,21,0,12,1968
4914,bonnier,3.0,22,0,12,1968
4915,jack_brabham,2.0,23,0,12,1968
4916,moser,2.0,24,0,12,1968
4917,pescarolo,0.0,25,0,12,1968
4918,love,0.0,26,0,12,1968
4919,hahne,0.0,27,0,12,1968
4920,ahrens,0.0,28,0,12,1968
4921,hobbs,0.0,29,0,12,1968
4922,pretorius,0.0,30,0,12,1968
4923,stewart,9.0,1,1,1,1969
4924,hill,6.0,2,0,1,1969
4925,hulme,4.0,3,0,1,1969
4926,siffert,3.0,4,0,1,1969
4927,mclaren,2.0,5,0,1,1969
4928,beltoise,1.0,6,0,1,1969
4929,oliver,0.0,7,0,1,1969
4930,tingle,0.0,8,0,1,1969
4931,klerk,0.0,9,0,1,1969
4932,rindt,0.0,10,0,1,1969
4933,surtees,0.0,11,0,1,1969
4934,rodriguez,0.0,12,0,1,1969
4935,amon,0.0,13,0,1,1969
4936,jack_brabham,0.0,14,0,1,1969
4937,mario_andretti,0.0,15,0,1,1969
4938,love,0.0,16,0,1,1969
4939,ickx,0.0,17,0,1,1969
4940,rooyen,0.0,18,0,1,1969
4941,stewart,18.0,1,2,2,1969
4942,mclaren,8.0,2,0,2,1969
4943,hulme,7.0,3,0,2,1969
4944,hill,6.0,4,0,2,1969
4945,beltoise,5.0,5,0,2,1969
4946,siffert,3.0,6,0,2,1969
4947,surtees,2.0,7,0,2,1969
4948,ickx,1.0,8,0,2,1969
4949,oliver,0.0,9,0,2,1969
4950,tingle,0.0,10,0,2,1969
4951,rodriguez,0.0,11,0,2,1969
4952,amon,0.0,12,0,2,1969
4953,jack_brabham,0.0,13,0,2,1969
4954,klerk,0.0,14,0,2,1969
4955,rindt,0.0,15,0,2,1969
4956,courage,0.0,16,0,2,1969
4957,mario_andretti,0.0,17,0,2,1969
4958,love,0.0,18,0,2,1969
4959,rooyen,0.0,19,0,2,1969
4960,stewart,18.0,1,2,3,1969
4961,hill,15.0,2,1,3,1969
4962,mclaren,10.0,3,0,3,1969
4963,hulme,8.0,4,0,3,1969
4964,siffert,7.0,5,0,3,1969
4965,courage,6.0,6,0,3,1969
4966,beltoise,5.0,7,0,3,1969
4967,attwood,3.0,8,0,3,1969
4968,surtees,2.0,9,0,3,1969
4969,ickx,1.0,10,0,3,1969
4970,oliver,0.0,11,0,3,1969
4971,elford,0.0,12,0,3,1969
4972,tingle,0.0,13,0,3,1969
4973,rodriguez,0.0,14,0,3,1969
4974,amon,0.0,15,0,3,1969
4975,jack_brabham,0.0,16,0,3,1969
4976,klerk,0.0,17,0,3,1969
4977,rindt,0.0,18,0,3,1969
4978,moser,0.0,19,0,3,1969
4979,mario_andretti,0.0,20,0,3,1969
4980,love,0.0,21,0,3,1969
4981,rooyen,0.0,22,0,3,1969
4982,stewart,27.0,1,3,4,1969
4983,hill,15.0,2,1,4,1969
4984,siffert,13.0,3,0,4,1969
4985,hulme,11.0,4,0,4,1969
4986,mclaren,10.0,5,0,4,1969
4987,courage,6.0,6,0,4,1969
4988,beltoise,5.0,7,0,4,1969
4989,amon,4.0,8,0,4,1969
4990,attwood,3.0,9,0,4,1969
4991,ickx,3.0,10,0,4,1969
4992,surtees,2.0,11,0,4,1969
4993,jack_brabham,1.0,12,0,4,1969
4994,elford,0.0,13,0,4,1969
4995,oliver,0.0,14,0,4,1969
4996,tingle,0.0,15,0,4,1969
4997,rodriguez,0.0,16,0,4,1969
4998,klerk,0.0,17,0,4,1969
4999,rindt,0.0,18,0,4,1969
5000,moser,0.0,19,0,4,1969
5001,mario_andretti,0.0,20,0,4,1969
5002,love,0.0,21,0,4,1969
5003,rooyen,0.0,22,0,4,1969
5004,stewart,36.0,1,4,5,1969
5005,hill,16.0,2,1,5,1969
5006,siffert,13.0,3,0,5,1969
5007,mclaren,13.0,4,0,5,1969
5008,beltoise,11.0,5,0,5,1969
5009,hulme,11.0,6,0,5,1969
5010,ickx,7.0,7,0,5,1969
5011,courage,6.0,8,0,5,1969
5012,amon,4.0,9,0,5,1969
5013,attwood,3.0,10,0,5,1969
5014,elford,2.0,11,0,5,1969
5015,surtees,2.0,12,0,5,1969
5016,jack_brabham,1.0,13,0,5,1969
5017,moser,0.0,14,0,5,1969
5018,oliver,0.0,15,0,5,1969
5019,tingle,0.0,16,0,5,1969
5020,rodriguez,0.0,17,0,5,1969
5021,klerk,0.0,18,0,5,1969
5022,rindt,0.0,19,0,5,1969
5023,miles,0.0,20,0,5,1969
5024,mario_andretti,0.0,21,0,5,1969
5025,love,0.0,22,0,5,1969
5026,rooyen,0.0,23,0,5,1969
5027,stewart,45.0,1,5,6,1969
5028,mclaren,17.0,2,0,6,1969
5029,hill,16.0,3,1,6,1969
